Id,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
22,Thu Feb 04 00:00:37 CET 2021,Thu Feb 04 00:00:37 CET 2021,GET,http://molde.idi.ntnu.no:21091/107458496476094391,404,Not Found,79,294,157
24,Thu Feb 04 00:00:37 CET 2021,Thu Feb 04 00:00:37 CET 2021,GET,http://molde.idi.ntnu.no:21091/img/731062449288527305,404,Not Found,54,294,161
26,Thu Feb 04 00:00:37 CET 2021,Thu Feb 04 00:00:37 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts/7597880669130993603,404,Not Found,52,294,166
28,Thu Feb 04 00:00:37 CET 2021,Thu Feb 04 00:00:38 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles/7378901366166513182,404,Not Found,43,294,165
30,Thu Feb 04 00:00:38 CET 2021,Thu Feb 04 00:00:38 CET 2021,GET,http://molde.idi.ntnu.no:21091/img,301,Moved Permanently,66,319,173
31,Thu Feb 04 00:00:38 CET 2021,Thu Feb 04 00:00:38 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts,301,Moved Permanently,39,323,181
32,Thu Feb 04 00:00:38 CET 2021,Thu Feb 04 00:00:39 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles,301,Moved Permanently,39,322,179
33,Thu Feb 04 00:00:39 CET 2021,Thu Feb 04 00:00:39 CET 2021,GET,http://molde.idi.ntnu.no:21091/img,301,Moved Permanently,41,319,173
34,Thu Feb 04 00:00:39 CET 2021,Thu Feb 04 00:00:39 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts,301,Moved Permanently,41,323,181
35,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:40 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles,301,Moved Permanently,41,322,179
36,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:40 CET 2021,GET,http://molde.idi.ntnu.no:21091/WEB-INF/web.xml,404,Not Found,60,294,154
37,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:40 CET 2021,GET,http://molde.idi.ntnu.no:21091/WEB-INF/applicationContext.xml,404,Not Found,46,294,169
38,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:40 CET 2021,GET,http://molde.idi.ntnu.no:21091/WEB-INF/classes/web/xml.class,404,Not Found,48,294,168
39,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:40 CET 2021,GET,http://molde.idi.ntnu.no:21091/WEB-INF/classes/applicationContext/xml.class,404,Not Found,50,294,183
40,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:40 CET 2021,GET,http://molde.idi.ntnu.no:21091/img,301,Moved Permanently,67,319,173
41,Thu Feb 04 00:00:40 CET 2021,Thu Feb 04 00:00:41 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts,301,Moved Permanently,45,323,181
42,Thu Feb 04 00:00:41 CET 2021,Thu Feb 04 00:00:41 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles,301,Moved Permanently,45,322,179
43,Thu Feb 04 00:00:41 CET 2021,Thu Feb 04 00:00:41 CET 2021,GET,http://molde.idi.ntnu.no:21091/img,301,Moved Permanently,41,319,173
44,Thu Feb 04 00:00:42 CET 2021,Thu Feb 04 00:00:42 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts,301,Moved Permanently,43,323,181
45,Thu Feb 04 00:00:42 CET 2021,Thu Feb 04 00:00:42 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles,301,Moved Permanently,40,322,179
46,Thu Feb 04 00:00:42 CET 2021,Thu Feb 04 00:00:42 CET 2021,GET,http://molde.idi.ntnu.no:21091/img,301,Moved Permanently,43,319,173
47,Thu Feb 04 00:00:43 CET 2021,Thu Feb 04 00:00:43 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts,301,Moved Permanently,41,323,181
48,Thu Feb 04 00:00:43 CET 2021,Thu Feb 04 00:00:43 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles,301,Moved Permanently,41,322,179
49,Thu Feb 04 00:00:43 CET 2021,Thu Feb 04 00:00:43 CET 2021,GET,http://molde.idi.ntnu.no:21091/img,301,Moved Permanently,40,319,173
50,Thu Feb 04 00:00:44 CET 2021,Thu Feb 04 00:00:44 CET 2021,GET,http://molde.idi.ntnu.no:21091/scripts,301,Moved Permanently,45,323,181
51,Thu Feb 04 00:00:44 CET 2021,Thu Feb 04 00:00:44 CET 2021,GET,http://molde.idi.ntnu.no:21091/styles,301,Moved Permanently,44,322,179
